,id,condition,Delta,Theta,Alpha,Beta,Gamma,Sum,segment,start,end
53,8,hard,318472.93333333335,50657.43333333333,-17541.6,3796.7333333333336,2508.399999999998,36.0,1.0,1.0,30.0
55,8,mindfulness,106184.20000000001,46832.06666666666,-35770.466666666674,-1261.0333333333328,-2892.2000000000007,44.0,1.0,1.0,30.0
56,9,art,95520.79999999999,21429.899999999994,-3171.666666666679,11619.899999999994,7651.0999999999985,40.0,1.0,1.0,30.0
57,9,easy,772401.4999999999,163119.63333333333,10299.466666666667,26407.700000000004,28612.899999999998,34.0,1.0,1.0,30.0
58,9,flow,706399.2999999999,161958.4333333333,23517.966666666667,33262.933333333334,27461.7,32.0,1.0,1.0,30.0
59,9,free_recall,178263.13333333333,35945.23333333334,-3480.533333333333,1175.1666666666679,6950.533333333333,43.0,1.0,1.0,30.0
60,9,hard,751782.3333333334,149561.56666666668,25605.166666666664,34527.00000000001,21737.399999999998,25.0,1.0,1.0,30.0
62,9,mindfulness,577222.3666666667,153954.36666666667,20597.6,25278.76666666667,18971.833333333332,43.0,1.0,1.0,30.0
63,10,art,254831.9,123027.76666666666,21355.3,22183.16666666667,19574.633333333335,36.0,1.0,1.0,30.0
64,10,easy,47518.533333333326,8208.800000000003,3411.4333333333307,1319.8666666666686,667.9666666666672,39.0,1.0,1.0,30.0
65,10,flow,759331.9333333333,114642.33333333334,67919.43333333333,72819.1,9051.300000000003,39.0,1.0,1.0,30.0
66,10,free_recall,-25392.033333333326,16638.966666666667,25718.466666666664,3105.6666666666642,5304.366666666668,38.0,1.0,1.0,30.0
67,10,hard,22948.566666666622,25383.1,4849.399999999998,2348.833333333332,-96.0666666666666,37.0,1.0,1.0,30.0
69,10,mindfulness,9058.93333333332,14218.400000000001,34658.36666666667,4856.633333333335,405.6333333333332,41.0,1.0,1.0,30.0
70,11,art,-576696.1666666666,-194352.23333333334,-77351.96666666667,-68512.06666666668,-39749.03333333334,45.0,1.0,1.0,30.0
71,11,easy,-379260.7333333333,-176860.93333333335,-50144.43333333333,-53577.66666666667,-39068.600000000006,43.0,1.0,1.0,30.0
72,11,flow,-599074.2666666666,-228322.60000000003,-72369.53333333334,-63953.86666666667,-32296.06666666667,43.0,1.0,1.0,30.0
73,11,free_recall,-477452.76666666666,-213311.56666666668,-47260.53333333334,-59713.33333333334,-31889.26666666667,42.0,1.0,1.0,30.0
74,11,hard,-619383.6333333333,-228887.7,-82507.76666666666,-61247.70000000001,-32760.63333333334,40.0,1.0,1.0,30.0
76,11,mindfulness,-483495.8333333333,-210737.00000000003,-75675.1,-56445.80000000001,-29980.06666666667,45.0,1.0,1.0,30.0
77,12,art,-145615.33333333328,-20995.333333333336,-12235.366666666665,-4756.966666666665,-1045.6000000000004,43.0,1.0,1.0,30.0
78,12,easy,280318.4,84296.2,30552.466666666667,18151.166666666668,12691.266666666663,30.0,1.0,1.0,30.0
79,12,flow,26827.0,1442.0999999999985,-476.5,8015.066666666666,4299.700000000002,34.0,1.0,1.0,30.0
80,12,free_recall,95611.40000000002,27912.266666666663,53278.166666666664,10352.833333333336,6723.233333333333,38.0,1.0,1.0,30.0
81,12,hard,-67676.0333333333,-2959.300000000003,-6988.266666666663,3184.2666666666664,7557.933333333333,22.0,1.0,1.0,30.0
83,12,mindfulness,228902.6666666667,45621.03333333331,24555.700000000004,7400.800000000003,4454.166666666667,38.0,1.0,1.0,30.0
84,13,art,-92236.53333333338,-11345.233333333344,7183.700000000001,936.8999999999978,3086.5666666666675,45.0,1.0,1.0,30.0
85,13,easy,94501.79999999999,20013.466666666645,17909.2,6439.366666666669,756.2999999999993,40.0,1.0,1.0,30.0
86,13,flow,28385.099999999977,21598.09999999999,24508.03333333333,4461.133333333335,-1627.8666666666668,40.0,1.0,1.0,30.0
87,13,free_recall,114135.83333333331,-2726.53333333334,4835.133333333331,-817.7666666666701,-1327.8666666666668,38.0,1.0,1.0,30.0
88,13,hard,112845.66666666657,47282.73333333332,25515.133333333335,15075.800000000003,1860.7333333333354,37.0,1.0,1.0,30.0
90,13,mindfulness,266027.86666666664,-5871.966666666674,13282.600000000002,1419.8666666666686,3817.8999999999996,41.0,1.0,1.0,30.0
91,14,art,234595.16666666666,69748.23333333334,-33083.8,5680.900000000005,-6296.266666666666,42.0,1.0,1.0,30.0
92,14,easy,209864.6666666667,32660.800000000003,-33594.26666666666,7244.733333333337,-629.7999999999993,40.0,1.0,1.0,30.0
93,14,flow,486790.1666666666,77102.33333333331,18899.86666666667,24425.03333333334,5573.966666666667,37.0,1.0,1.0,30.0
94,14,free_recall,-13219.666666666668,-3156.2999999999993,-14551.266666666663,-1684.6666666666606,-3754.166666666666,35.0,1.0,1.0,30.0
95,14,hard,45174.166666666664,16439.6,-48295.46666666667,804.0,-7350.2,36.0,1.0,1.0,30.0
97,14,mindfulness,304452.5,62499.56666666667,3599.8333333333285,10853.033333333336,2261.133333333335,41.0,1.0,1.0,30.0
